%time,field.x,field.y,field.z
1668719016909812688,0.5613646919089768,0.616434586599736,0.028565567514184934
1668719016934113740,0.5598563624956459,0.6161104426086524,0.028788197093346672
1668719016959348201,0.5579890875978296,0.6152366083807863,0.032849587086120506
1668719016984006881,0.5545078955079763,0.6192412401313785,0.02976169705586544
1668719017009291172,0.55473804087265,0.6169207023016018,0.03152883949258361
1668719017034181594,0.5504501610202341,0.6174343603095321,0.030565374955354926
1668719017059238910,0.5504501610202341,0.6174343603095321,0.030565374955354926
1668719017084358453,0.5504501610202341,0.6174343603095321,0.030565374955354926
1668719017109171390,0.5472005165588476,0.6191181911571385,0.029247046099712477
1668719017134182691,0.5461631617990671,0.6179443425695025,0.029602948641904814
1668719017159213542,0.5446503111826766,0.6176312154491086,0.02982744568730479
1668719017184902667,0.5456882400821293,0.6188055972846586,0.02947225089623159
1668719017209240913,0.5431363469541945,0.6173207163137759,0.0300528117880959
1668719017234810590,0.5431363469541945,0.6173207163137759,0.0300528117880959
1668719017259550571,0.5431363469541945,0.6173207163137759,0.0300528117880959
1668719017284465074,0.5421183633859065,0.6123500399099482,0.02882160045307689
1668719017309397220,0.5403633367167674,0.6181389868984696,0.028866037115535433
1668719017334298372,0.5377980416286303,0.6204485295867946,0.0310374315462297
1668719017358708381,0.5362968805772869,0.6163431075196042,0.029671963804816664
1668719017383899688,0.5378133764073135,0.6166500638862631,0.02944645140731343
1668719017409273862,0.5362968805772869,0.6163431075196042,0.029671963804816664
1668719017434321403,0.5362968805772869,0.6163431075196042,0.029671963804816664
1668719017459102869,0.5454097940817869,0.603520553974205,0.02830860092631672
1668719017483637571,0.5324792867658598,0.6197693798004356,0.03043461852253257
1668719017507373571,0.5320100270973179,0.6168470855754874,0.028711609736146063
1668719017532548904,0.542544949512375,0.6049517121680176,0.02603225778796873
1668719017557068109,0.5320100270973179,0.6168470855754874,0.028711609736146063
1668719017582208395,0.5424125973520151,0.5995779559037913,0.027013715026859533
1668719017606920957,0.5299477109224912,0.6144744407976656,0.02942198339880477
1668719017634170770,0.5368529033377687,0.6043308972967093,0.027078790799746896
1668719017658517360,0.5359715522905203,0.5982047508359885,0.02570889616610236
1668719017683068513,0.5350044343885721,0.5999877809324952,0.026113419518796182
1668719017707004785,0.5241431425763344,0.6146661998304542,0.028687698020102226
1668719017731487035,0.5336795253718666,0.6003855933187427,0.027155073950237384
1668719017756677389,0.5338039850628459,0.6019366148701272,0.027685368537684777
